n,k,d
2.01726,-0.0486604,0.0005
2.09505,-0.0468467,0.0005
2.94836,-0.0534995,0.0005
2.6728,-0.0232811,0.0005
2.63021,-0.0163642,0.0005
2.76845,-0.0299258,0.0005
2.06768,-0.0501474,0.0005
2.28977,-0.0180038,0.0005
2.1552,-0.0356328,0.0005
2.1317,-0.0264001,0.0005
2.32893,-0.0885132,0.0005
2.60082,-0.0542482,0.0005
2.74779,-0.012056,0.0005
2.80884,-0.0834473,0.0005
2.04313,-0.0244541,0.0005
2.37235,-0.00575927,0.0005
2.26961,-0.0196403,0.0005
2.90483,-0.00363827,0.0005
2.53651,-0.026086,0.0005
2.13018,-0.0667101,0.0005
2.99611,-0.0839548,0.0005
2.90046,-0.0565298,0.0005
2.25548,-0.015155,0.0005
2.98682,-0.0444335,0.0005
2.44299,-0.0780557,0.0005
2.36453,-0.082132,0.0005
2.74093,-0.0583901,0.0005
2.81399,-0.0381922,0.0005
2.39792,-0.027806,0.0005
2.3454,-0.0794017,0.0005
2.63579,-0.0278585,0.0005
2.64883,-0.0889612,0.0005
2.43544,-0.0766647,0.0005
2.86101,-0.0122499,0.0005
2.05226,-0.0441539,0.0005
2.89253,-0.0354976,0.0005
2.92151,-0.0206457,0.0005
2.71949,-0.0234907,0.0005
2.9163,-0.0243441,0.0005
2.69857,-0.0982171,0.0005
2.36924,-0.0457788,0.0005
2.59475,-0.0306849,0.0005
2.70071,-0.0332619,0.0005
2.52381,-0.0545002,0.0005
2.70691,-0.0589408,0.0005
2.26633,-0.00554963,0.0005
2.19451,-0.0740112,0.0005
2.51213,-0.0679614,0.0005
2.07953,-0.0720228,0.0005
2.28556,-0.09965,0.0005
2.65851,-0.0735669,0.0005
2.60566,-0.0876277,0.0005
2.64696,-0.0287062,0.0005
2.09054,-0.0826068,0.0005
2.75245,-0.0937628,0.0005
2.06207,-0.0272239,0.0005
2.41534,-0.0451268,0.0005
2.34534,-0.00201778,0.0005
2.40047,-0.0580341,0.0005
2.6855,-0.0117695,0.0005
2.75641,-0.0545332,0.0005
2.86082,-0.0700568,0.0005
2.54647,-0.0885653,0.0005
2.63726,-0.0308849,0.0005
2.19471,-0.013155,0.0005
2.82275,-0.0422102,0.0005
2.04595,-0.0934921,0.0005
2.48273,-0.0497896,0.0005
2.05415,-0.0298822,0.0005
2.68891,-0.0931984,0.0005
2.89865,-0.0372542,0.0005
2.82074,-0.0857915,0.0005
2.90735,-0.0826579,0.0005
2.42914,-0.0694257,0.0005
2.79975,-0.0193152,0.0005
2.06558,-0.069187,0.0005
2.10111,-0.0798324,0.0005
2.25672,-0.025127,0.0005
2.56197,-0.0167695,0.0005
2.30208,-0.0566089,0.0005
2.41696,-0.0898898,0.0005
2.61137,-0.0662995,0.0005
2.45493,-0.0247276,0.0005
2.33166,-0.0948082,0.0005
2.4053,-0.0764473,0.0005
2.90332,-0.0573301,0.0005
2.62749,-0.00983756,0.0005
2.36368,-0.0284229,0.0005
2.40948,-0.0205719,0.0005
2.58697,-0.0739125,0.0005
2.28874,-0.0714333,0.0005
2.74553,-0.0509993,0.0005
2.31727,-0.0676247,0.0005
2.4656,-0.0900133,0.0005
2.38048,-0.0710084,0.0005
2.26426,-0.0583263,0.0005
2.72772,-0.0268504,0.0005
2.5832,-0.0578333,0.0005
2.7048,-0.0775265,0.0005
2.09314,-0.0344282,0.0005
2.84629,-0.0815872,0.0005
2.37339,-0.0942012,0.0005
2.59604,-0.0489813,0.0005
2.16932,-0.0654419,0.0005
2.12625,-0.054307,0.0005
2.15455,-0.0922472,0.0005
2.47886,-0.0449549,0.0005
2.21015,-0.0898911,0.0005
2.44218,-0.0810928,0.0005
2.61107,-0.0584763,0.0005
2.99727,-0.0516401,0.0005
2.67881,-0.0572856,0.0005
2.54293,-0.0176891,0.0005
2.74158,-0.0216963,0.0005
2.9321,-0.0687429,0.0005
2.56558,-0.0358778,0.0005
2.39766,-0.0698377,0.0005
2.31629,-0.0905843,0.0005
2.89515,-0.0125181,0.0005
2.89599,-0.0596932,0.0005
2.7447,-0.0136289,0.0005
2.94336,-0.0592648,0.0005
2.55615,-0.0391789,0.0005
2.88347,-0.0350923,0.0005
2.8135,-0.0869945,0.0005
2.1849,-0.0736747,0.0005
2.48182,-0.0322423,0.0005
2.41916,-0.0785989,0.0005
2.52336,-0.0710492,0.0005
2.62331,-0.0228393,0.0005
2.65476,-0.0246775,0.0005
2.25836,-0.0862897,0.0005
2.54759,-0.0367097,0.0005
2.22003,-0.0599859,0.0005
2.87726,-0.0590508,0.0005
2.54317,-0.0635943,0.0005
2.75152,-0.0748773,0.0005
2.59979,-0.00220437,0.0005
2.82604,-0.078177,0.0005
2.12941,-0.00952947,0.0005
2.51822,-0.0147999,0.0005
2.30162,-0.031654,0.0005
2.49921,-0.0826435,0.0005
2.80129,-0.0528936,0.0005
2.48244,-0.0575421,0.0005
2.19436,-0.028658,0.0005
2.86273,-0.0398945,0.0005
2.13365,-0.0254697,0.0005
2.63564,-0.0609772,0.0005
2.0325,-0.063008,0.0005
2.90416,-0.0429456,0.0005
2.64712,-0.0346506,0.0005
2.67383,-0.0460845,0.0005
2.87637,-0.072106,0.0005
2.85729,-0.0476023,0.0005
2.27601,-0.0933909,0.0005
2.09293,-0.0465474,0.0005
2.629,-0.0301433,0.0005
2.48658,-0.0253723,0.0005
2.14725,-0.0385537,0.0005
2.67028,-0.0114546,0.0005
2.98975,-0.095584,0.0005
2.7007,-0.0188074,0.0005
2.60045,-0.0439271,0.0005
2.44156,-0.099945,0.0005
2.74446,-0.0777962,0.0005
2.77935,-0.0783527,0.0005
2.73402,-0.022175,0.0005
2.33597,-0.0503193,0.0005
2.29232,-0.0393418,0.0005
2.94951,-0.0144605,0.0005
2.29573,-0.0670009,0.0005
2.27663,-0.0264905,0.0005
2.14967,-0.00171991,0.0005
2.22443,-0.0834087,0.0005
2.09591,-0.0660517,0.0005
2.47162,-0.0515849,0.0005
2.76808,-0.09643,0.0005
2.52777,-0.0328563,0.0005
2.37516,-0.0537897,0.0005
2.22556,-0.0376086,0.0005
2.23018,-0.0736872,0.0005
2.98654,-0.015535,0.0005
2.01151,-0.0435618,0.0005
2.45644,-0.0362476,0.0005
2.4202,-0.048589,0.0005
2.78375,-0.0668175,0.0005
2.3699,-0.00153547,0.0005
2.23875,-0.0126036,0.0005
2.94461,-0.0917808,0.0005
2.92111,-0.00714399,0.0005
2.7587,-0.0216484,0.0005
2.03601,-0.0128957,0.0005
2.94399,-0.0193862,0.0005
2.21415,-0.0454481,0.0005
2.59499,-0.0239334,0.0005
2.68093,-0.0976232,0.0005
2.73632,-0.0394152,0.0005
2.89444,-0.0491364,0.0005
2.11737,-0.0933621,0.0005
2.25366,-0.035755,0.0005
2.34753,-0.0299833,0.0005
2.95421,-0.0186512,0.0005
2.04848,-0.0982725,0.0005
2.01682,-0.00571579,0.0005
2.94602,-0.00454273,0.0005
2.45903,-0.0730206,0.0005
2.41748,-0.063582,0.0005
2.91098,-0.0239526,0.0005
2.29481,-0.058723,0.0005
2.50233,-0.00131718,0.0005
2.13349,-0.0193783,0.0005
2.23789,-0.0360677,0.0005
2.64141,-0.0667065,0.0005
2.9856,-0.0323443,0.0005
2.2791,-0.0885293,0.0005
2.6173,-0.0331393,0.0005
2.35213,-0.0579157,0.0005
2.79559,-0.0115791,0.0005
2.36742,-0.0318811,0.0005
2.23703,-0.0604144,0.0005
2.18323,-0.0842797,0.0005
2.4605,-0.0813409,0.0005
2.65445,-0.0881686,0.0005
2.83855,-0.0041012,0.0005
2.03956,-0.0778085,0.0005
2.85511,-0.0700583,0.0005
2.96848,-0.0274634,0.0005
2.55021,-0.044305,0.0005
2.46565,-0.0991493,0.0005
2.03494,-0.0285541,0.0005
2.80301,-0.0886773,0.0005
2.0466,-0.0658154,0.0005
2.36068,-0.00705841,0.0005
2.56005,-0.00725282,0.0005
2.66846,-0.0992908,0.0005
2.11546,-0.0620473,0.0005
2.7126,-0.0626762,0.0005
2.03131,-0.0160338,0.0005
2.81872,-0.0215904,0.0005
2.43364,-0.0249696,0.0005
2.01842,-0.0809653,0.0005
2.25265,-0.0734256,0.0005
2.38252,-0.0252642,0.0005
2.06441,-0.0722815,0.0005
2.76104,-0.0666932,0.0005
2.13633,-0.00415307,0.0005
2.7847,-0.0764472,0.0005
2.8798,-0.00312398,0.0005
2.4836,-0.0217999,0.0005
2.29009,-0.0817232,0.0005
2.76655,-0.0593147,0.0005
2.4042,-0.0814962,0.0005
2.23808,-0.0590166,0.0005
2.97328,-0.0948008,0.0005
2.97441,-0.0432065,0.0005
2.63492,-0.0233098,0.0005
2.13701,-0.0531428,0.0005
2.06604,-0.038545,0.0005
2.74666,-0.0285544,0.0005
2.95264,-0.0153331,0.0005
2.00062,-0.000340608,0.0005
2.6638,-0.0713963,0.0005
2.7862,-0.0044312,0.0005
2.02314,-0.0146065,0.0005
2.32214,-0.0771338,0.0005
2.26251,-0.0220824,0.0005
2.72478,-0.022216,0.0005
2.34962,-0.00141655,0.0005
2.36261,-0.0542784,0.0005
2.96377,-0.0125655,0.0005
2.89796,-0.0847944,0.0005
2.4068,-0.0303208,0.0005
2.45024,-0.0308585,0.0005
2.68316,-0.0404771,0.0005
2.94873,-0.0550046,0.0005
2.65192,-0.0251796,0.0005
2.92346,-0.00813063,0.0005
2.43833,-0.0886351,0.0005
2.58052,-0.0701339,0.0005
2.02849,-0.0706623,0.0005
2.48898,-0.0867985,0.0005
2.85213,-0.013794,0.0005
2.2869,-0.00982359,0.0005
2.31471,-0.000875309,0.0005
2.58557,-0.00929142,0.0005
2.26347,-0.0846247,0.0005
2.97437,-0.0899597,0.0005
2.9707,-0.0396604,0.0005
2.83676,-0.0853961,0.0005
2.00249,-0.0746402,0.0005
2.21702,-0.0911768,0.0005
2.98142,-0.0505619,0.0005
2.76942,-0.0876832,0.0005
2.04289,-0.0025942,0.0005
2.14711,-0.0927928,0.0005
2.2374,-0.079432,0.0005
2.84602,-0.0662801,0.0005
2.64776,-0.0862122,0.0005
2.31841,-0.0362136,0.0005
2.00451,-0.058374,0.0005
2.54073,-0.0730911,0.0005
2.0697,-0.0699137,0.0005
2.95151,-0.0104797,0.0005
2.25379,-0.0460865,0.0005
2.72916,-0.0838897,0.0005
2.49916,-0.0857366,0.0005
2.90696,-0.0816124,0.0005
2.92248,-0.0468169,0.0005
2.56066,-0.0554554,0.0005
2.74673,-0.028445,0.0005
2.23795,-0.0114228,0.0005
2.28668,-0.0704955,0.0005
2.9677,-0.0666945,0.0005
2.51738,-0.0307358,0.0005
2.70655,-0.0567475,0.0005
2.43853,-0.0066553,0.0005
2.51385,-0.0894625,0.0005
2.51603,-0.0423458,0.0005
2.24809,-0.0422186,0.0005
2.5906,-0.0345111,0.0005
2.35837,-0.0871259,0.0005
2.89881,-0.0530789,0.0005
2.31762,-0.0180856,0.0005
2.30435,-0.0530856,0.0005
2.7154,-0.0332666,0.0005
2.07613,-0.0291324,0.0005
2.45477,-0.0354435,0.0005
2.05793,-0.0194751,0.0005
2.60525,-0.0626092,0.0005
2.0687,-0.0386242,0.0005
2.98251,-0.0230745,0.0005
2.81604,-0.00788091,0.0005
2.84887,-0.0153508,0.0005
2.31331,-0.0543366,0.0005
2.52333,-0.0195747,0.0005
2.01725,-0.00797597,0.0005
2.23243,-0.0459449,0.0005
2.26818,-0.0973399,0.0005
2.31783,-0.0778547,0.0005
2.20105,-0.0372257,0.0005
2.12335,-0.0102144,0.0005
2.77021,-0.0824756,0.0005
2.82737,-0.00308123,0.0005
2.97005,-8.39404e-05,0.0005
2.09311,-0.0855543,0.0005
2.77175,-0.00670822,0.0005
2.20002,-0.0587115,0.0005
2.98534,-0.0151236,0.0005
2.86691,-0.0076241,0.0005
2.90705,-0.0099665,0.0005
2.57188,-0.0352413,0.0005
2.11655,-0.0971591,0.0005
2.28253,-0.037317,0.0005
2.33714,-0.0614469,0.0005
2.67541,-0.00938375,0.0005
2.28824,-0.0913991,0.0005
2.22693,-0.0889598,0.0005
2.23397,-0.0224235,0.0005
2.99351,-0.0318777,0.0005
2.43235,-0.0753587,0.0005
2.023,-0.0389083,0.0005
2.62778,-0.0807942,0.0005
2.31453,-0.07965,0.0005
2.52983,-0.0934633,0.0005
2.36152,-0.0910134,0.0005
2.90168,-0.000233425,0.0005
2.49138,-0.0333176,0.0005
2.06184,-0.0878242,0.0005
2.71619,-0.058062,0.0005
2.36504,-0.0878931,0.0005
2.98166,-0.0868614,0.0005
2.36121,-0.0248352,0.0005
2.54727,-0.0748258,0.0005
2.93708,-0.017839,0.0005
2.25894,-0.0702552,0.0005
2.05098,-0.0699423,0.0005
2.67216,-0.0849641,0.0005
2.70047,-0.0165629,0.0005
2.61365,-0.000795133,0.0005
2.43758,-0.0282201,0.0005
2.5115,-0.0603516,0.0005
2.57368,-0.0738171,0.0005
2.63886,-0.0907016,0.0005
2.1519,-0.0734102,0.0005
2.72654,-0.0504507,0.0005
2.78967,-0.00700149,0.0005
2.59642,-0.011445,0.0005
2.07695,-0.065898,0.0005
2.30693,-0.0168459,0.0005
2.26892,-0.0668253,0.0005
2.74004,-0.0971163,0.0005
2.93787,-0.0507998,0.0005
2.60049,-0.075798,0.0005
2.52147,-0.0583053,0.0005
2.5998,-0.0902323,0.0005
2.14171,-0.0772815,0.0005
2.28777,-0.00346087,0.0005
2.66182,-0.0323987,0.0005
2.71365,-0.0632721,0.0005
2.47454,-0.0964219,0.0005
2.24732,-0.0112356,0.0005
2.94389,-0.0337915,0.0005
2.98519,-0.0449875,0.0005
2.91479,-0.0846965,0.0005
2.65253,-0.0831246,0.0005
2.61027,-0.00930225,0.0005
2.85193,-0.00280193,0.0005
2.14051,-0.0947909,0.0005
2.19476,-0.00893152,0.0005
2.61659,-0.00942761,0.0005
2.97429,-0.0115805,0.0005
2.65215,-0.00534069,0.0005
2.62602,-0.0325659,0.0005
2.22498,-0.0855297,0.0005
2.29819,-0.0803382,0.0005
2.67285,-0.0066305,0.0005
2.85884,-0.0991682,0.0005
2.75562,-0.0840449,0.0005
2.64508,-0.0284501,0.0005
2.60784,-0.0841159,0.0005
2.14004,-0.0922781,0.0005
2.45505,-0.0616679,0.0005
2.4213,-0.0153399,0.0005
2.27989,-0.0748694,0.0005
2.07224,-0.0409304,0.0005
2.1625,-0.021483,0.0005
2.2552,-0.0143048,0.0005
2.7819,-0.0213885,0.0005
2.09652,-0.07149,0.0005
2.06948,-0.071576,0.0005
2.16408,-0.0945322,0.0005
2.22182,-0.0112927,0.0005
2.25892,-0.0717214,0.0005
2.53138,-0.0584392,0.0005
2.68055,-0.0374675,0.0005
2.00655,-0.0993546,0.0005
2.60694,-0.0442022,0.0005
2.91525,-0.0809251,0.0005
2.51793,-0.0678512,0.0005
2.50384,-0.0956855,0.0005
2.90312,-0.0907357,0.0005
2.16354,-0.00724093,0.0005
2.72201,-0.0813404,0.0005
2.70022,-0.0868096,0.0005
2.95237,-0.0663642,0.0005
2.68104,-0.00568564,0.0005
2.01627,-0.0817213,0.0005
2.26625,-0.0666709,0.0005
2.90009,-0.0368564,0.0005
2.15227,-0.0756949,0.0005
2.58745,-0.00570949,0.0005
2.04578,-0.0475427,0.0005
2.14889,-0.0885825,0.0005
2.4024,-0.038652,0.0005
2.84535,-0.0613065,0.0005
2.64348,-0.0926796,0.0005
2.02385,-0.00737308,0.0005
2.93707,-0.042873,0.0005
2.94663,-0.0896444,0.0005
2.00848,-0.0182795,0.0005
2.45834,-0.099793,0.0005
2.4697,-0.0083065,0.0005
2.47906,-0.0992012,0.0005
2.3937,-0.0934525,0.0005
2.40669,-0.0706746,0.0005
2.3505,-0.099769,0.0005
2.0105,-0.0672506,0.0005
2.57347,-0.0813101,0.0005
2.64097,-0.0244841,0.0005
2.56992,-0.0323758,0.0005
2.07786,-0.0756218,0.0005
2.48507,-0.0114741,0.0005
2.10464,-0.0702668,0.0005
2.49582,-0.0837249,0.0005
2.2181,-0.0224069,0.0005
2.51486,-0.0526525,0.0005
2.87059,-0.0939913,0.0005
2.8572,-0.00474103,0.0005
2.95148,-0.0378198,0.0005
2.32355,-0.0112515,0.0005
2.8963,-0.0885946,0.0005
2.87878,-0.0241945,0.0005
2.5643,-0.0597962,0.0005
2.74272,-0.0166867,0.0005
2.96054,-0.0881791,0.0005
2.4708,-0.0329243,0.0005
2.24576,-0.0602046,0.0005
2.98051,-0.038483,0.0005
2.30029,-0.0741291,0.0005
2.26327,-0.0783987,0.0005
2.81811,-0.0597278,0.0005
2.76667,-0.0436862,0.0005
2.54013,-0.00237142,0.0005
2.07657,-0.0533351,0.0005
2.89901,-0.0262405,0.0005
2.07553,-0.0190437,0.0005
2.86399,-0.00103664,0.0005
2.6949,-0.00196369,0.0005
2.2066,-0.0557358,0.0005
2.63871,-0.0168549,0.0005
2.34032,-0.0585367,0.0005
2.49635,-0.0154036,0.0005
2.92551,-0.064718,0.0005
2.23356,-0.0746652,0.0005
2.89849,-0.0352182,0.0005
2.77747,-0.0197953,0.0005
2.43893,-0.0201789,0.0005
2.67467,-0.0694031,0.0005
2.31007,-0.0757107,0.0005
2.85371,-0.0228023,0.0005
2.45089,-0.0471566,0.0005
2.52931,-0.0398972,0.0005
2.26743,-0.0604151,0.0005
2.22501,-0.0247132,0.0005
2.71031,-0.0398247,0.0005
2.69284,-0.0684935,0.0005
2.53556,-0.0506374,0.0005
2.2862,-0.099559,0.0005
2.41384,-0.00237623,0.0005
2.5728,-0.0869762,0.0005
2.37673,-0.00658324,0.0005
2.67374,-0.0836631,0.0005
2.72834,-0.0978199,0.0005
2.52219,-0.0244294,0.0005
2.5449,-0.00941187,0.0005
2.93441,-0.0866397,0.0005
2.8927,-0.00573967,0.0005
2.97758,-0.0802091,0.0005
2.49822,-0.0227813,0.0005
2.22439,-0.0175156,0.0005
2.82427,-0.0969734,0.0005
2.5758,-0.0765731,0.0005
2.46126,-0.00369254,0.0005
2.40405,-0.0271002,0.0005
2.46149,-0.0989835,0.0005
2.43229,-0.0121346,0.0005
2.64512,-0.0684616,0.0005
2.83601,-0.0419262,0.0005
2.30111,-0.0764633,0.0005
2.34482,-0.0903693,0.0005
2.57671,-0.0299781,0.0005
2.35915,-0.0281123,0.0005
2.12721,-0.0212969,0.0005
2.83815,-0.0155182,0.0005
2.13032,-0.0073264,0.0005
2.31841,-0.0350402,0.0005
2.91551,-0.0275944,0.0005
2.84865,-0.0541432,0.0005
2.11336,-0.0346012,0.0005
2.63725,-0.00271419,0.0005
2.61382,-0.0744997,0.0005
2.26067,-0.0949952,0.0005
2.20563,-0.0362244,0.0005
2.59605,-0.0615039,0.0005
2.4984,-0.0833349,0.0005
2.52097,-0.0709511,0.0005
2.22567,-0.0620479,0.0005
2.87125,-0.00336672,0.0005
2.90984,-0.0652436,0.0005
2.25493,-0.0457202,0.0005
2.1974,-0.00197577,0.0005
2.20601,-0.0755845,0.0005
2.63664,-0.0493308,0.0005
2.88049,-0.0420103,0.0005
2.69621,-0.0680902,0.0005
2.62201,-0.0301092,0.0005
2.35915,-0.0641925,0.0005
2.12689,-0.0755371,0.0005
2.59443,-0.0502539,0.0005
2.79962,-0.0974971,0.0005
2.54006,-0.0348185,0.0005
2.82769,-0.0944668,0.0005
2.21067,-0.0505449,0.0005
2.66312,-0.000357821,0.0005
2.52063,-0.00893209,0.0005
2.60508,-0.0411313,0.0005
2.44551,-0.0647078,0.0005
2.664,-0.0813302,0.0005
2.20002,-0.033851,0.0005
2.84367,-0.031422,0.0005
2.38519,-0.0944884,0.0005
2.93997,-0.0546239,0.0005
2.37913,-0.0295608,0.0005
2.35009,-0.00542948,0.0005
2.24929,-0.0305899,0.0005
2.02019,-0.0107448,0.0005
2.57998,-0.0152137,0.0005
2.82117,-0.00778353,0.0005
2.56738,-0.0443472,0.0005
2.488,-0.0442222,0.0005
2.02531,-0.0666569,0.0005
2.7494,-0.0851637,0.0005
2.36681,-0.0841607,0.0005
2.05541,-0.0571878,0.0005
2.71458,-0.0197131,0.0005
2.31737,-0.0697416,0.0005
2.97721,-0.0116974,0.0005
2.95857,-0.010828,0.0005
2.62455,-0.0349375,0.0005
2.30695,-0.0300358,0.0005
2.91421,-0.0959241,0.0005
2.93902,-0.0405988,0.0005
2.47214,-0.049007,0.0005
2.11336,-0.0151222,0.0005
2.45355,-0.0246255,0.0005
2.41752,-0.0900112,0.0005
2.62032,-0.00513635,0.0005
2.98764,-0.0735514,0.0005
2.00913,-0.0459511,0.0005
2.46948,-0.0903415,0.0005
2.06979,-0.0537931,0.0005
2.45887,-0.0810398,0.0005
2.402,-0.0555186,0.0005
2.81671,-0.0490173,0.0005
2.68637,-0.0506059,0.0005
2.4666,-0.0921114,0.0005
2.28829,-0.0912788,0.0005
2.18544,-0.0449141,0.0005
2.15324,-0.060862,0.0005
2.98284,-0.0763763,0.0005
2.35904,-0.0697388,0.0005
2.25975,-0.0662496,0.0005
2.51739,-0.0918561,0.0005
2.11635,-0.044781,0.0005
2.90046,-0.0409796,0.0005
2.70563,-0.0971282,0.0005
2.78816,-0.0306343,0.0005
2.24019,-0.0183202,0.0005
2.758,-0.0665921,0.0005
2.40226,-0.0203735,0.0005
2.69563,-0.0596022,0.0005
2.465,-0.0886896,0.0005
2.32569,-0.0586257,0.0005
2.82771,-0.00278335,0.0005
2.93589,-0.079426,0.0005
2.91054,-0.0435141,0.0005
2.54386,-0.0777634,0.0005
2.04319,-0.0235135,0.0005
2.52577,-0.0796645,0.0005
2.75591,-0.0135018,0.0005
2.27777,-0.0520744,0.0005
2.80576,-0.0378161,0.0005
2.36224,-0.0884834,0.0005
2.43708,-0.0361052,0.0005
2.46258,-0.0186506,0.0005
2.50619,-0.0469749,0.0005
2.42697,-0.0190446,0.0005
2.51071,-0.0768586,0.0005
2.17267,-0.0140507,0.0005
2.17884,-0.0216091,0.0005
2.24943,-0.0596192,0.0005
2.08665,-0.0212808,0.0005
2.66001,-0.0833346,0.0005
2.45169,-0.0982163,0.0005
2.7796,-0.0722435,0.0005
2.73449,-0.0115922,0.0005
2.11573,-0.0318984,0.0005
2.24667,-0.0215341,0.0005
2.7903,-0.0487486,0.0005
2.49143,-0.00985171,0.0005
2.77373,-0.0556402,0.0005
2.88653,-0.0985834,0.0005
2.66195,-0.05982,0.0005
2.3878,-0.0195879,0.0005
2.08633,-0.0894556,0.0005
2.81979,-0.0931905,0.0005
2.73448,-0.0828982,0.0005
2.82071,-0.0177394,0.0005
2.47269,-0.0837121,0.0005
2.85019,-0.0481646,0.0005
2.53879,-0.0204179,0.0005
2.03902,-0.00890584,0.0005
2.7957,-0.0187138,0.0005
2.12252,-0.0801178,0.0005
2.23087,-0.0672164,0.0005
2.39418,-0.0360458,0.0005
2.28565,-0.0346493,0.0005
2.6779,-0.0106377,0.0005
2.53329,-0.0857013,0.0005
2.93747,-0.018787,0.0005
2.94183,-0.0607305,0.0005
2.13425,-0.0270881,0.0005
2.46523,-0.0791552,0.0005
2.74588,-0.00843757,0.0005
2.81271,-0.0870087,0.0005
2.80487,-0.046869,0.0005
2.91094,-0.0131977,0.0005
2.62882,-0.0962021,0.0005
2.40871,-0.00932906,0.0005
2.69212,-0.0950009,0.0005
2.13518,-0.0693006,0.0005
2.54944,-0.0230123,0.0005
2.04985,-0.0376297,0.0005
2.84748,-0.0666224,0.0005
2.55748,-0.0667661,0.0005
2.11016,-0.0169462,0.0005
